hotel,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,meal,country,market_segment,distribution_channel,reserved_room_type,assigned_room_type,booking_changes,deposit_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests,canceled
City Hotel,February,9,21,1,0,2,BB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,91.0,0,1,1
City Hotel,July,29,17,1,0,2,SC,SWE,Online TA,TA/TO,A,A,0,No Deposit,Transient,140.0,0,2,1
City Hotel,July,29,22,1,1,2,HB,DEU,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,122.4,0,1,0
City Hotel,March,11,9,0,3,2,BB,USA,Online TA,TA/TO,B,B,0,No Deposit,Transient,77.5,0,2,1
City Hotel,September,38,11,1,0,2,SC,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,89.0,0,2,0
Resort Hotel,November,46,10,2,3,2,BB,BEL,Direct,Direct,G,G,0,No Deposit,Transient,88.68,0,1,0
City Hotel,July,27,1,1,2,3,BB,MAR,Online TA,TA/TO,D,D,0,No Deposit,Transient,168.3,0,0,1
Resort Hotel,December,50,6,2,4,2,HB,ESP,Offline TA/TO,TA/TO,E,E,0,No Deposit,Transient,71.0,0,0,0
Resort Hotel,September,38,18,1,2,2,BB,CHE,Direct,Direct,F,G,1,No Deposit,Transient,113.0,1,0,0
City Hotel,March,11,16,1,3,2,SC,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,74.8,0,3,0
City Hotel,November,48,24,0,2,1,HB,BRA,Direct,Direct,A,A,1,No Deposit,Transient,93.0,0,0,1
Resort Hotel,May,21,18,2,7,2,BB,IRL,Online TA,TA/TO,E,E,1,No Deposit,Transient,90.0,0,3,0
City Hotel,April,15,9,1,1,2,BB,FRA,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,70.0,0,1,0
City Hotel,August,35,26,1,2,2,BB,FRA,Online TA,TA/TO,D,D,2,No Deposit,Transient,150.8,0,1,0
City Hotel,July,27,8,0,1,2,BB,ESP,Direct,Direct,A,D,0,No Deposit,Transient,98.1,1,0,0
City Hotel,January,4,22,1,2,1,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,99.3,0,1,0
Resort Hotel,August,36,30,2,8,1,BB,GBR,Offline TA/TO,TA/TO,A,A,1,No Deposit,Transient,71.4,0,0,0
City Hotel,December,49,5,2,1,2,HB,ESP,Groups,TA/TO,A,A,0,Non Refund,Transient,90.0,0,0,1
City Hotel,November,48,21,1,1,1,BB,PRT,Groups,Corporate,A,A,0,No Deposit,Transient,75.0,0,0,0
Resort Hotel,March,11,9,0,3,3,HB,GBR,Groups,TA/TO,A,C,0,No Deposit,Transient-Party,86.55,0,0,0
City Hotel,May,20,11,0,4,2,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,92.28,0,0,1
City Hotel,March,10,6,1,3,2,BB,GBR,Online TA,TA/TO,D,D,0,No Deposit,Transient,100.3,0,4,0
Resort Hotel,May,21,18,2,7,2,HB,GBR,Direct,Direct,E,E,0,No Deposit,Transient,106.7,0,1,0
Resort Hotel,October,45,30,2,5,2,BB,DEU,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,35.0,0,0,0
City Hotel,August,33,12,0,2,2,SC,PRT,Online TA,TA/TO,F,F,0,No Deposit,Contract,153.0,0,1,0
City Hotel,October,40,3,2,2,2,BB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.0,0,0,1
City Hotel,June,27,26,2,0,3,BB,FIN,Online TA,TA/TO,D,D,0,No Deposit,Transient,132.3,0,2,0
City Hotel,June,26,24,0,2,1,BB,SRB,Offline TA/TO,TA/TO,A,D,2,No Deposit,Transient-Party,0.0,0,0,0
City Hotel,October,41,6,0,3,1,BB,SWE,Online TA,TA/TO,F,G,0,No Deposit,Contract,221.33,0,2,0
Resort Hotel,July,30,23,2,5,2,BB,GBR,Online TA,TA/TO,D,D,0,No Deposit,Transient,180.0,0,0,1
Resort Hotel,January,2,8,2,3,2,BB,GBR,Online TA,TA/TO,E,E,0,No Deposit,Transient,50.4,0,1,0
City Hotel,March,12,14,1,4,2,BB,FRA,Direct,Direct,A,A,0,No Deposit,Transient,72.25,0,2,0
City Hotel,July,28,6,2,4,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,110.0,0,0,1
City Hotel,April,17,26,0,3,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,100.0,0,0,1
City Hotel,June,25,16,2,3,2,BB,SWE,Offline TA/TO,TA/TO,A,B,0,No Deposit,Transient,116.45,0,0,0
Resort Hotel,October,41,6,0,3,1,BB,GBR,Groups,TA/TO,A,A,1,No Deposit,Transient-Party,48.0,0,0,0
Resort Hotel,December,50,5,1,2,2,Undefined,ESP,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,84.0,0,0,0
City Hotel,February,8,23,1,3,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,78.0,0,0,1
City Hotel,May,22,31,0,3,2,BB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,90.0,0,0,1
City Hotel,July,29,21,2,3,2,BB,GBR,Direct,Direct,E,E,0,No Deposit,Transient,194.8,0,0,1
City Hotel,August,34,16,0,5,2,BB,ITA,Online TA,TA/TO,D,D,0,No Deposit,Transient,124.2,0,2,0
City Hotel,April,16,14,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.0,0,0,1
City Hotel,November,46,10,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.8,0,0,1
City Hotel,October,41,8,1,3,2,HB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,86.0,0,0,1
Resort Hotel,January,3,16,1,2,1,Undefined,PRT,Groups,Direct,A,A,1,No Deposit,Transient-Party,55.0,0,0,0
City Hotel,January,3,18,0,3,1,BB,FRA,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,65.0,0,0,0
City Hotel,December,53,29,1,3,2,BB,ITA,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,84.15,0,0,0
Resort Hotel,January,2,14,0,1,2,HB,PRT,Groups,TA/TO,A,E,0,No Deposit,Transient-Party,100.0,0,1,0
City Hotel,August,33,11,0,2,2,BB,GBR,Online TA,TA/TO,F,F,0,No Deposit,Transient,186.3,0,1,0
Resort Hotel,October,42,14,2,5,2,BB,GBR,Groups,Direct,E,E,0,No Deposit,Transient-Party,80.81,0,0,0
City Hotel,August,32,12,2,2,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,130.5,0,1,1
City Hotel,October,43,22,2,3,2,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,90.95,0,2,0
City Hotel,October,44,29,0,1,2,BB,ITA,Direct,Direct,F,F,0,No Deposit,Transient,239.0,0,0,1
City Hotel,October,43,21,0,1,2,BB,PRT,Complementary,Direct,G,G,0,No Deposit,Transient,0.0,0,1,0
Resort Hotel,January,2,13,2,5,2,BB,GBR,Online TA,TA/TO,A,E,0,No Deposit,Transient,34.82,0,1,0
City Hotel,November,48,25,0,1,2,BB,PRT,Direct,Direct,D,D,0,No Deposit,Transient,75.0,0,0,0
City Hotel,July,27,2,2,2,2,BB,FIN,Online TA,TA/TO,A,A,0,No Deposit,Transient,97.33,0,0,1
City Hotel,December,50,9,0,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,110.0,0,0,1
Resort Hotel,August,35,21,2,3,1,BB,PRT,Direct,Direct,A,A,0,No Deposit,Transient,189.0,0,1,0
City Hotel,August,33,9,0,2,2,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,105.3,0,1,0
City Hotel,September,39,18,2,1,2,SC,MYS,Online TA,TA/TO,A,A,0,No Deposit,Transient,129.0,0,1,1
City Hotel,May,21,20,2,2,2,BB,BRA,Online TA,TA/TO,D,D,0,No Deposit,Transient,140.4,0,0,1
City Hotel,September,37,9,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.0,0,0,0
City Hotel,December,49,5,2,1,2,BB,ESP,Groups,TA/TO,A,D,0,No Deposit,Transient-Party,62.0,0,0,0
City Hotel,November,45,5,1,3,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,43.5,0,0,0
Resort Hotel,December,50,8,0,1,1,BB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,43.0,0,0,1
City Hotel,May,20,10,0,1,2,BB,PRT,Online TA,Corporate,A,A,0,No Deposit,Transient,84.0,0,0,1
City Hotel,October,44,29,0,1,2,SC,BEL,Online TA,TA/TO,A,A,0,No Deposit,Transient,109.0,0,2,0
Resort Hotel,January,3,16,1,1,2,BB,NLD,Corporate,Corporate,A,G,2,No Deposit,Transient,36.0,1,1,0
City Hotel,April,18,30,2,2,2,BB,NAM,Online TA,TA/TO,A,A,0,No Deposit,Transient,121.61,0,0,0
Resort Hotel,May,21,19,3,8,2,FB,CN,Offline TA/TO,TA/TO,E,E,3,No Deposit,Transient,135.49,0,0,0
City Hotel,August,35,26,2,2,2,SC,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,120.6,0,0,1
City Hotel,December,52,22,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.8,0,0,1
